[113097,887988] [110946,898025]
[426989,606965] [430028,620006]
[455996,734032] [491007,712983]
[328994,646993] [340029,686026]
[310979,617979] [328101,646010]
[309972,616919] [310002,617001]
[282998,653015] [310034,617972]
[213992,627874] [256002,652006]
[703899,811008] [711083,760991]
[878986,259999] [907046,307061]
[865018,540009] [851844,484986]
[285009,550931] [229996,565016]
[321014,558120] [285974,550979]
[314005,503959] [285967,550126]
[371080,466974] [334998,500008]
[940980,851078] [949118,843978]
[826990,816967] [855077,855009]
[38980,179007] [50116,155985]
[297067,416023] [292863,382962]
[255963,423049] [297026,416930]
[337928,271988] [353095,314040]
[195938,485064] [233003,454970]
[173998,466872] [195024,485068]
[142975,462951] [173013,466007]
[704915,930015] [718086,895999]
[9945,157852] [38008,179008]
[801010,850095] [756988,840903]
[954074,888024] [937860,869987]
[518026,177040] [492936,142973]
[556003,216047] [518956,177999]
[600041,249021] [556952,216982]
[448959,200014] [481024,144970]
[936061,838053] [912955,808926]
[675997,938180] [704000,930999]
[107028,191101] [61999,181944]
[675002,938010] [643931,909940]
[402006,923161] [362998,886943]
[205993,783995] [235008,833062]
[832165,932993] [814813,994008]
[245965,508906] [285114,550001]
[679926,864066] [703001,811936]
[718024,895082] [679976,864939]
[756055,840882] [728959,893004]
[375156,93992] [350999,150037]
[286052,105033] [272778,55995]
[559961,932062] [619009,913995]
[543958,924979] [559056,932009]
[532965,963037] [543017,924990]
[508983,961979] [532024,963109]
[588039,342909] [526990,357187]
[626027,323915] [602970,350066]
[224943,8950] [272060,55033]
[912126,808976] [855994,855062]
[971074,864987] [954911,888004]
[995086,942017] [945997,909949]
[72942,350979] [88187,426021]
[289986,944016] [318018,870990]
[279976,996034] [289098,944996]
[192092,985050] [124930,941990]
